Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
MISCELLANEOUS,NONODES,cm70p701,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION TE,ctmprod701,CTM_EXPLOIT,53,52,52,52,52,52,53
SMO - SERVICE PLANIFICATION TE,ctmprod701,CTM_PLAN,8,8,8,8,8,8,8
MISCELLANEOUS,eaipisopt1,EAI_PRD,0,0,0,0,0,1,1
EDD - EAI-PROD,eaiwbmp01,CTM_EXPLOIT,3,3,3,3,3,3,3
EDD - EAI-PROD,eaiwbmp01,EAI_DO_OPE,0,0,0,0,18,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_IO_INT,26,26,26,26,26,13,13
EDD - EAI-PROD,eaiwbmp01,EAI_IO_OPE,21,21,21,21,21,5,5
EDD - EAI-PROD,eaiwbmp01,EAI_IO_SUPPLY,2,2,2,2,2,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_IS_ISIS,74,62,44,50,29,5,17
EDD - EAI-PROD,eaiwbmp01,EAI_IT_OPE,29,27,24,15,24,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_IT_SUPPLY,6,6,0,3,3,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_LU_OPE,18,18,18,18,18,3,1
EDD - EAI-PROD,eaiwbmp01,EAI_MK_FICO,9,6,6,12,0,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_MK_OPE,1070,851,1009,1176,1241,457,766
EDD - EAI-PROD,eaiwbmp01,EAI_MK_SUPPLY,1,1,1,1,1,1,1
EDD - EAI-PROD,eaiwbmp01,EAI_PRD,23,23,23,21,20,47,19
EDD - EAI-PROD,eaiwbmp01,EAI_RA_SUPPLY,2,2,2,2,2,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_RF_FICO,24,21,24,27,18,3,0
EDD - EAI-PROD,eaiwbmp01,EAI_RF_GBR_ERR,2,2,2,2,2,2,2
EDD - EAI-PROD,eaiwbmp01,EAI_RF_OPE,32,26,32,32,32,1,1
EDD - EAI-PROD,eaiwbmp01,EAI_RK_FICO,33,45,21,18,15,3,0
EDD - EAI-PROD,eaiwbmp01,EAI_RK_OPE,238,231,234,240,234,15,15
EDD - EAI-PROD,eaiwbmp01,EAI_RO_OPE,33,123,51,66,30,3,3
EDD - EAI-PROD,eaiwbmp01,EAI_RS_SUPPLY,12,12,12,12,12,3,3
EDD - EAI-PROD,eaiwbmp01,EAI_RU_ABSM,13,13,13,13,13,12,12
EDD - EAI-PROD,eaiwbmp01,EAI_RU_SUPPLY,74,50,62,105,80,11,11
EDD - EAI-PROD,eaiwbmp01,EAI_SU_FICO,0,0,0,0,3,0,0
EDD - EAI-PROD,eaiwbmp01,EAI_SU_SUPPLY,340,262,334,268,262,55,37
EDD - EAI-PROD,eaiwbmp02,EAI_PRD,5,5,5,5,5,12,5
EDD - XFB - INTERNE - PROD,xfbprod,XFB_PRD,11,11,11,11,11,11,11
MISCELLANEOUS,NONODES,cm70p702,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,CTM_EXPLOIT,51,51,51,51,51,51,51
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,CTM_PLAN,12,12,12,12,12,12,12
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,SAP_P4E_ALL,1,1,1,1,1,1,1
TOTAL ERG BW - PRODUCTION P4E,sap_4E,SAP_P4E,8,8,8,8,8,1,8
TOTAL ERG BW - PRODUCTION P4E,sap_4E,SAP_P4E_ALL,1,1,1,1,1,1,1
TOTAL ERG BW - PRODUCTION P4E,sap_4E,SAP_P4E_DW,405,413,420,418,46,0,409
INF - BACK-UP SERVICE,sapnbup01,SAP_P4E,1,1,1,1,1,0,1
INF - BACK-UP SERVICE,sapnbuq01,SAP_P4E,6,6,6,6,6,0,6
TOTAL ERG - PRODUCTION SYSTEM - P4B/P4G,sapp4b,CTM_EXPLOIT,10,10,10,10,10,10,10
TOTAL ERG - PRODUCTION SYSTEM - P4B/P4G,sapp4b,SAP_P4B,1,1,1,1,1,5,1
